Rank,Team,W-L,Pyth,AdjO,AdjD,AdjT,Luck,OppPyth,OppO,OppD,NCOppPyth,kag_id,kag_yr
89,UNLV,20-13,.6795,107.3,100.5,66.8,-.047,.5126,104.8,104.4,.3472,817,S
90,Mississippi,19-14,.6775,109.7,102.9,69.7,-.005,.6012,105.3,101.6,.4488,674,S
91,UTEP,23-10,.6749,105.5,99.0,64.7,+.027,.4571,103.9,105.5,.5004,824,S
92,Richmond,19-14,.6728,103.7,97.4,63.6,+.026,.6273,107.0,102.2,.5059,743,S
93,Butler,14-17,.6722,105.0,98.6,63.5,-.057,.6751,108.4,101.7,.4177,535,S
94,Northern Iowa,16-15,.6718,112.1,105.3,65.9,-.080,.6120,106.0,101.9,.7105,714,S
95,Washington,17-15,.6664,110.7,104.2,68.5,+.036,.6325,106.9,102.0,.4028,840,S
96,American,20-12,.6636,103.2,97.3,61.4,-.032,.4380,103.1,105.4,.5057,509,S
97,Princeton,20-8,.6632,106.4,100.3,64.8,-.003,.4343,103.3,105.8,.4414,736,S
98,Alabama,13-19,.6613,106.1,100.1,63.5,-.092,.7066,109.4,101.3,.6507,504,S
99,Mercer,26-8,.6578,107.5,101.6,65.0,+.007,.3635,102.7,107.9,.6150,667,S
100,Buffalo,19-10,.6576,110.1,104.0,68.1,-.033,.4453,101.3,103.3,.4456,534,S
101,Notre Dame,15-17,.6509,112.1,106.2,64.1,-.063,.6507,107.9,102.2,.4270,717,S
102,Purdue,15-17,.6474,106.7,101.2,68.9,-.039,.6577,107.3,101.4,.3587,738,S
103,Oregon St.,16-15,.6472,111.5,105.8,66.8,+.016,.6420,107.6,102.3,.3766,726,S
104,Indiana St.,23-10,.6396,105.5,100.3,66.6,+.080,.5485,105.7,104.0,.4968,626,S
105,Delaware,25-9,.6367,110.9,105.6,72.1,+.059,.4859,104.8,105.3,.5901,570,S
106,Rhode Island,14-18,.6340,103.8,98.9,66.2,-.068,.6019,105.9,102.2,.4456,741,S
107,La Salle,15-16,.6329,105.1,100.2,64.6,+.001,.6589,107.7,101.7,.5849,641,S
108,Toledo,27-6,.6322,114.6,109.3,68.4,+.123,.4636,102.4,103.7,.4809,798,S
109,Belmont,24-9,.6302,112.2,107.1,68.9,+.070,.4578,104.5,106.0,.6451,522,S
110,Canisius,21-12,.6224,111.6,106.9,66.8,+.029,.4844,104.6,105.2,.5368,541,S
111,Georgia Tech,16-17,.6195,104.0,99.7,65.7,-.002,.6183,107.2,102.8,.3386,606,S
